Country,Year,Status,Life_expectancy,Adult_Mortality,infant_deaths,Alcohol,percentage_expenditure,Hepatitis_B,Measles,BMI,under_five_deaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness__1_19_years,thinness_5_9_years,Income_composition_of_resources,Schooling,Disease_Name,Disease_Category,Prevalence_Rate_(%),Incidence_Rate_(%),Mortality_Rate_(%),Age_Group,Gender,Population_Affected,Healthcare_Access_(%),Doctors_per_1000,Hospital_Beds_per_1000,Treatment_Type,Average_Treatment_Cost_(USD),Availability_of_Vaccines/Treatment,Recovery_Rate_(%),DALYs,Improvement_in_5_Years_(%),Per_Capita_Income_(USD),Education_Index,Urbanization_Rate_(%),age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal,target
France,2013,Developing,82.0,81.0,3,11.1,6646.953935,74.0,272,61.6,3,99.0,11.56,99.0,0.1,42554.1225,6599857.0,0.6,0.6,0.887,16.2,Cholera,Parasitic,19.9,10.97,6.05,61+,Other,631067,81.8,0.97,5.36,Surgery,39786,No,84.2,4292,5.41,14892,0.51,52.97,62,0,0,140,394,0,0,157,0,1.2,1,0,2,1
India,2010,Developing,66.4,196.0,1200,2.77,57.73359864,38.0,31458,15.9,1600,76.0,4.28,79.0,0.2,1345.77153,12398691.0,27.0,27.8,0.569,10.4,Diabetes,Respiratory,14.01,2.83,6.22,61+,Female,55041,63.57,2.92,9.25,Surgery,6159,Yes,60.54,4240,3.21,75647,0.48,42.33,67,1,2,152,212,0,0,150,0,0.8,1,0,3,0
Australia,2015,Developed,82.8,59.0,1,4.602860787172012,0.0,93.0,74,66.6,1,93.0,5.9381895280236,93.0,0.1,56554.3876,23789338.0,0.6,0.6,0.937,20.4,Measles,Viral,6.52,4.24,6.03,61+,Female,377347,50.62,3.1,4.34,Medication,49523,No,98.3,937,3.18,85778,0.5,36.08,64,1,2,125,309,0,1,131,1,1.8,1,0,3,0
France,2005,Developing,81.0,93.0,3,12.2,5451.701225,35.0,36,57.5,4,98.0,1.6,98.0,0.1,34879.72633,63179356.0,0.6,0.6,0.86,15.5,Leprosy,Chronic,18.45,14.64,0.35,36-60,Male,807842,51.12,4.38,8.35,Surgery,10252,No,59.97,229,2.54,46904,0.48,24.94,45,1,1,128,308,0,0,170,0,0.0,2,0,2,1
Saudi Arabia,2008,Developing,73.3,98.0,9,0.09,15.50666857,98.0,158,62.4,10,98.0,2.87,98.0,0.1,237.83234,12753375.120052494,7.2,7.3,0.779,12.8,Leprosy,Respiratory,19.98,12.08,9.31,36-60,Other,722566,69.04,2.64,4.88,Vaccination,3606,No,85.52,534,8.98,47206,0.62,67.37,55,0,1,132,342,0,1,166,0,1.2,2,0,2,1
China,2011,Developing,75.2,91.0,215,5.63,91.26749779,99.0,9943,29.0,251,99.0,5.3,99.0,0.1,5633.79616,134413.0,4.1,3.5,0.7,12.8,Hepatitis,Chronic,13.6,2.22,3.9,36-60,Other,272521,98.26,2.54,1.79,Surgery,24581,No,82.54,3895,7.56,47463,0.82,58.25,55,0,0,180,327,0,2,117,1,3.4,1,0,2,0
South Africa,2003,Developing,54.0,485.0,55,6.93,519.1563781,71.0,244,42.2,82,7.0,8.26,69.0,28.9,3775.68275,46418193.9,13.5,16.1,0.613,12.9,Rabies,Respiratory,17.04,10.17,5.75,36-60,Other,739704,73.58,2.07,4.0,Therapy,7096,Yes,67.44,885,1.85,37579,0.47,34.77,53,0,0,138,234,0,0,160,0,0.0,2,0,2,1
Brazil,2004,Developing,72.0,17.0,81,6.85,186.6090485,96.0,0,46.9,93,99.0,7.7,99.0,0.1,3623.47667,184738458.0,3.2,3.2,0.695,14.0,COVID-19,Viral,12.12,7.65,4.05,36-60,Other,300606,83.4,4.52,6.94,Medication,1599,No,67.37,795,1.13,22924,0.84,72.1,41,1,2,112,250,0,1,179,0,0.0,2,0,2,1
Nigeria,2014,Developing,53.6,362.0,490,0.01,263.2111031,49.0,6855,24.7,759,49.0,3.67,49.0,3.9,3221.678128,1764652.0,1.1,9.9,0.521,10.0,Parkinson's Disease,Viral,0.93,4.63,3.32,36-60,Other,941484,55.83,3.83,1.12,Medication,36532,No,62.65,2942,2.14,22582,0.54,43.15,59,1,0,138,271,0,0,182,0,0.0,2,0,2,1
Japan,2014,Developed,83.5,57.0,2,0.01,88.83362243,80.94046121593291,462,28.6,3,99.0,1.23,96.0,0.1,3896.21151,127276.0,2.0,1.7,0.899,15.3,Hepatitis,Parasitic,3.67,11.71,8.1,61+,Male,79583,89.51,2.62,1.71,Therapy,11053,Yes,94.59,3728,2.41,91621,0.56,73.59,63,1,0,130,254,0,0,147,0,1.4,1,1,3,0
Mexico,2014,Developing,76.6,122.0,31,5.26,168.173753,84.0,3,62.8,36,87.0,6.3,87.0,0.1,1452.27766,1242216.0,1.6,1.5,0.754,13.1,Influenza,Chronic,16.58,13.75,4.25,61+,Male,607810,88.02,2.58,9.69,Vaccination,15599,No,79.25,3403,3.08,65461,0.78,73.13,63,0,1,140,195,0,1,179,0,0.0,2,2,2,1
South Africa,2008,Developing,55.3,473.0,50,8.19,780.0336423,76.0,39,45.7,75,77.0,7.75,79.0,23.5,5786.59972,49557573.3,8.9,1.7,0.616,12.9,Asthma,Parasitic,6.24,8.5,4.4,36-60,Female,433483,66.56,4.96,7.35,Medication,4689,No,75.02,2720,7.1,89021,0.68,44.87,42,1,2,130,180,0,1,150,0,0.0,2,0,2,1
Mexico,2005,Developing,75.3,126.0,42,4.93,998.3498049,98.0,6,56.4,49,98.0,6.4,98.0,0.1,7986.798439,18472228.0,1.8,1.7,0.719,12.2,Diabetes,Metabolic,14.18,11.24,3.7,36-60,Other,244252,55.44,3.65,2.54,Therapy,25852,Yes,57.12,252,8.42,64247,0.58,31.34,43,1,0,150,247,0,1,171,0,1.5,2,0,2,1
